"Name of Village","Property Type","Price Low Season","Sale Price","Description","Listing Status"
"The Plant Kathu","house","50K","","🏡 Newly Renovated 2-Storey House for Rent – The Plant Kathu-Patong
💸 Rental Price: 50,000 THB/Month

📆 1 Year Contract | 🔐 2 Months Deposit + 1 Month Advance
✨ Property Details
• 3 Bedrooms (Fully Furnished)
• 2 Bathrooms
• Living Room with Sofa & Dining Area
• 4 Air Conditioners
• Large Kitchen with Electric Stove
• Appliances: Microwave | Front-Load Washing Machine | Rice Cooker | 2-Door Refrigerator | Electric Kettle | 55” Smart TV | 2 Water Heaters
• 1 Covered Parking Space
• Land Size: 35.8 sq.wah (~143 sqm)
🌿 Includes
• Common Swimming Pool & Gym
• Village Playground
• Daily Trash Collection
💡 Excludes
• Electricity & Water (Government Rate)

🚫 Pets Not Allowed
🏘️ Facilities
• Gated Community
• 24-Hour Security
• Common Playground
📍 Nearby
• 1.2 km → Lotus’s Go Fresh
• 5.4 km → HeadStart International School
• 5.5 km → Central Festival Phuket
• 7.4 km → Bangkok Hospital Phuket
• 13 km → IKEA
📩 For private viewing, please contact

📱 Whatsapp: wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
#PhuketHouseForRent #ThePlantKathuPatong #PhuketRental #PhuketProperty #HouseForRentPhuket",""
"Kathu Passorn","house","35K","","🏡 3-Bedroom Detached House for Rent – Passorn Kathu, Phuket (Direct owner)

📍 Prime Location

5 min → Tesco Lotus Kathu

10 min → Central Festival

15 min → HeadStart International School

15 min → Patong Beach


✨ Property Highlights

3 Bedrooms (2 fully furnished, 1 empty room)

2 Bathrooms

Spacious living area, ideal for families

Features:
🔹 49"" Smart TV with True Visions
🔹 High-speed Wi-Fi 500/500 Mbps (included)
🔹 3 Air Conditioners (2 in bedrooms, 1 in living room)
🔹 Water Heater
🔹 Refrigerator
🔹 Induction Stove & Microwave
🔹 Washing Machine
🔹 Shared Swimming Pool & Gym
🔹 24/7 Security with CCTV at car park

📌 Notes

Electricity & water charged at Provincial Authority rates

No pets allowed

💰 Rent: 35,000 THB/month (1-year contract)
🔒 Security Deposit: 2 months

📩 For viewing or more details please contact K.Thanya
📱 Whatsapp: http://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX ",""
"Lock palm","house","100K","","🏡 3-Bedroom House for Rent – Baan Suan Loch Palm, Kathu

📍 Private pool & garden | Peaceful, secure location

✨ Spacious 300 sqm living space on 464 sqm land
🛌 House Details
• 3 Bedrooms | 4 Bathrooms
• 1 Kitchen | 1 Laundry Room
• Big Desjoyaux swimming pool & terrace
• Covered parking
• Fully furnished with TV, Wi-Fi, washing machine & dryer
💸 Price
• Rent: 100,000 THB / month
• Sale: 19,000,000 THB
🏢 Project Features
• 24H Security & CCTV
• Communal garden area
📩 For private viewing, contact K. Thanya

📱 WhatsApp: wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
🔑 #PhuketHouseForRent #BaanSuanLochPalm #PrivatePoolPhuket #PhuketLiving #PhuketRealEstate #LuxuryHousePhuket",""
"สนามกอล์ฟ กะทู้","Pool Villa","-","25?MB","🌊 Corner Unit Seaview Private Pool Villa – Kathu

📍 Located inside a Golf Course | Leasehold
🏡 Property Details
• 3 Bedrooms | 4 Bathrooms
• Private swimming pool
• Stunning sea & golf course view
• Corner unit for extra privacy
💎 Perfect for peaceful living or investment in one of Phuket’s prime golf communities.
📩 Contact K. Thanya

📱 WhatsApp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
🔑 #KathuVilla #PhuketPoolVilla #SeaviewVilla #PhuketRealEstate #GolfCourseVilla",""
"หมู่บ้าน สบายวิล","Pool Villa","-","25MB","🏡 Pool Villa for SALE – Kathu

💵 Price: 25,000,000 THB (Negotiable)
📑 Title Deed: Chanote (Thai Freehold – Thai Owner)
✨ Property Details
• Land size: 130 sq.wah
• 4 Bedrooms | 5 Bathrooms
• Private swimming pool
• 1 Storage room
• Parking for 4 cars
• Utility: Government water & electricity
• CAM fee: 16,000 THB/year
• Transfer fee: 50/50 (Buyer & Seller)
📍 Location: Kathu, Phuket
🏡 พูลวิลล่า สำหรับขาย – กะทู้

💵 ราคา: 25,000,000 บาท (ต่อรองได้)
📑 โฉนด: โฉนดที่ดิน (เจ้าของคนไทย)
✨ รายละเอียดทรัพย์
• พื้นที่ดิน 130 ตร.ว.
• 4 ห้องนอน | 5 ห้องน้ำ
• 1 ห้องเก็บของ
• จอดรถได้ 4 คัน
• 1 สระว่ายน้ำส่วนตัว
• น้ำไฟฟ้าหลวง
• ค่าส่วนกลางปีละ 16,000 บาท
• ค่าโอน 50/50 (ผู้ซื้อ/ผู้ขาย)
📩 Contact K. Thanya

📱 WhatsApp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
🔑 #PhuketPoolVilla #KathuVilla #PhuketProperty #PhuketRealEstate #บ้านพูลวิลล่าภูเก็ต",""
"Lock plam","Pool Villa","120K","19 MB","💥 FOR SALE: 19 MB

💎 FOR RENT: 120,000 THB/month
📍 Location: Loch Palm, Kathu

📑 Ownership: Chanote (Thai Freehold)
✨ Property Details
• Land plot: 464 sqm
• Build area: 300 sqm
• 3 Bedrooms | 3 Bathrooms | 1 Guest Toilet
• 1 Maid’s room
• 1 Storage & Laundry room
• Fully furnished – 100% brand new
• European kitchen
• Private swimming pool
• Large balcony
• Covered parking for 2 cars + extra space
• Spacious garden with lush tropical greenery 🌿
🚩 Nearby & Directions
• 5 mins → BISP
• 10–15 mins → HeadStart, KIS, Boat Lagoon, Marina, Hospitals, Shopping malls
• 30–45 mins → Phuket International Airport
📩 Contact K. Thanya

📱 WhatsApp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
🔑 #PhuketVilla #LochPalm #KathuProperty #PhuketRealEstate #PoolVillaPhuket",""
"Kathu","Pool Villa","60K",""," House for Rent in Kathu – With Private Pool Rental Rates:• Yearly Contract: 60,000 THB/month• Special September Price!!– 6-month contract: 70,000 THB/month– 3-month contract: 75,000 THB/month Property Highlights: 2 Bedrooms | 3 Bathrooms Master Bedroom with Walk-in Closet Fully Furnished with German Kitchen – Move-in Ready Land Size: 254 sqm Private Pool & Garden Corner Pet Friendly Free Wi-Fi & Netflix Dining Area Washing Machine | Dishwasher | Microwave | Oven Storage Room & Parking Area Security Alarm, CCTV & Remote Gate Included Services:• Pool Cleaning: 1x/week• Garden Maintenance: 1x/month Nearby Locations: Central Phuket Festival – 10 mins British International School (BISP) – 10 mins HeadStart International School – 8 mins Loch Palm Golf Club – 7 mins Bangkok Hospital – 15 mins Patong Beach – 20 mins Phuket International Airport – 45 mins For private viewing, please contact Whatsapp: https://l.facebook.com/l.php?u=https%3A%2F%2Fwa.me%2F66659594299%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExWFp6Zm9ORHdpMVRmcEo5RAEe4d-L7bOTcXWalqJHDa_TTg2wzTUfwNnRSQ0zAGuB5x7MDn9uA-F8G0CdI50_aem_KQ2SakcDZM3v81m9UmGzDA&h=AT2Sazi4M_WtOjc0cXerRzzjO1iQawFpcZ_GVtsfwVtY5_-gAXR6UHFKx6_TCU7Efys4k_xFTbLPiertIZHcir0xqQLgtnPBAzhJlCh5qHKGL-YSW8W-KaHi7O968gKo3FzTYk4ZxDtUvZeSQVne&__tn__=-UK-R&c[0]=AT2RT9ppMqogvwPjAgMpAkWXJwouTDPkimEIsY2Uiyjfuoy6nfazp43ztvgihYVkPe7_bHYKmZQ3WLq6wnhLBJ43QdMDnIpQ1uDv6uRPpPwDzaPqeEZYcvsvu-o_NW3Se8zTVZh0UhhaX6tuHRI7fLYd2CMjEfyiUY6YVXMnTRrLcfq0eVsklxm1Q1rr6A LINE ID: https://l.facebook.com/l.php?u=https%3A%2F%2Fline.me%2Fti%2Fp%2F7Cr_f-bvBX%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExWFp6Zm9ORHdpMVRmcEo5RAEejTRnzmlyPGJuGLbB5a3nqY8VmmPXxtOIWaJiCIgI0vqK3L5TVplW6H-z7vs_aem_c9p7Z10ETAXcUmzbwOMdmg&h=AT11xAZ_Me-cctH43WccKo2dfXgxf9DvCuk4U2ul18vC6lyXqpR4F_5nbjfDwZBZaJZAr8zInk6WTYthMjNM2avh5h1EZWr5Mf0k0VpM9LoZSZtTpTwdIeyB8p-uUk2gWhfMUqaLoihI-qNBPNHW&__tn__=-UK-R&c[0]=AT2RT9ppMqogvwPjAgMpAkWXJwouTDPkimEIsY2Uiyjfuoy6nfazp43ztvgihYVkPe7_bHYKmZQ3WLq6wnhLBJ43QdMDnIpQ1uDv6uRPpPwDzaPqeEZYcvsvu-o_NW3Se8zTVZh0UhhaX6tuHRI7fLYd2CMjEfyiUY6YVXMnTRrLcfq0eVsklxm1Q1rr6A#KathuHouseForRent #PhuketHouseForRent #PhuketLiving #PhuketRental #PhuketPoolVilla #LuxuryLivingPhuket #PetFriendlyPhuket",""
"Phuket villa 3","house","40K","","🏡 House for Rent in Kathu, Phuket

📍 Phuket Villa Kathu 3
✨ Property Details:

• 2 Bedrooms

• 2 Bathrooms

• 1 Living Room

• 1 Empty Room

• 1 Kitchen

• Storage Room

• 2 Parking Spaces

• Fully Furnished with Electric Appliances

• Wi-Fi Included
💰 Rental Price: 40,000 THB/month (Yearly Contract)

📌 2 Months Security Deposit + 1 Month Advance
📍 Location Highlights:

• 10 mins to Central Phuket

• 15 mins to Patong Beach
📩 For further enquiry, please contact K.Thanya

📱 Whatsapp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
#PhuketVilla #KathuHouseForRent #PhuketRental #PhuketLiving #IslandHomePhuket #PropertyPhuket",""
"sino kokaew","house","55K","","📍 House for rent in Khaokaew (Near BISP)

🎗️ 1-Year Contract
💰 55,000 THB / month
🔐 2 months deposit + 1 month advance

Property Features
🏞️ Land size: 51 sq.w.
🌀 4 Bedrooms
🌀 3 Bathrooms (master en-suite)
🌀 Living room
🌀 Built-in kitchen
🌀 Common salt-system swimming pool (plus kids pool) & gym
🌀 Washing & drying zone
🌀 Parking for 2 cars
🌀 Garden with water feature
🌀 Balcony with coffee table

Fully Furnished
💠 50” Smart TV
💠 Large refrigerator
💠 Microwave
💠 2 Freezers
💠 Oven
💠 5 Air-conditioners
💠 Sofa
💠 Washing machine
💠 2 Water heaters (showers)
💦 Water filter

🟢 Price Includes
✅ 24-hour security & 4 private CCTVs
🔥 Free WiFi
🧹 House cleaning 2× per month
🌿 Garden care 1× per month
🐕 Small pets allowed

🔽 Excluded
➡️ Electricity (government rate)
➡️ Water (government rate)

📌 Nearby
✔️ 2 mins to BISP & Finway School
✔️ 5 mins to Villa Market & Boat Lagoon Marina
✔️ 15 mins to Central Festival
✔️ 20 mins to Bangkok Hospital Siriroj
✔️ 30 mins to Patong Beach
✔️ 40 mins to Phuket Airport

📩 For private viewing, please contact K.Thanya
📱 Whatsapp: http://wa.me/66659594299
📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

#phuketproperty #phuketvilla #houseforrentphuket #bisphuket #kathuproperty #phuketrentals #phuketrealestate #rawaiproperty #phuketliving #thailandproperty #expatphuket #phuketlife #propertyphuket",""
"lock palm","Pool Villa","360K","","Luxury Private Pool Villa for Rent 🌴✨

📍 Baan Suan Loch Palm, Kathu – Phuket
Experience refined living in this elegant private pool villa, located within the prestigious Baan Suan Loch Palm community. Tucked away in a quiet cul-de-sac with only 48 exclusive residences, this villa offers exceptional privacy, tranquility, and premium comfort—perfect for families or executives seeking a luxury lifestyle in Phuket.
🏡 Property Details
• Fully furnished with high-quality furniture
• 4 spacious bedrooms
• 6 modern bathrooms
• Fully equipped kitchen
• Maid’s room
• 2 private parking spaces
• Private swimming pool
• Peaceful surroundings with no front-facing neighbors
📍 Prime Location
• Directly opposite Loch Palm Golf Club
• Only 5 minutes to British International School Phuket (BISP)
• Close to Tops Supermarket, Big C, Lotus’s, 7-Eleven, and other conveniences
💰 Rental Price
• 360,000 THB per month
🎁 Exclusive Complimentary Services
• Free common area fee (value 100,000 THB/year)
• Professional swimming pool maintenance
• Garden maintenance
• Free high-speed internet
• Air-conditioner cleaning every 6 months
This villa is ideal for tenants seeking luxury, privacy, and a prestigious residential location in the heart of Phuket.
📩 Interested in a private viewing? Contact K. Thanya

📱 WhatsApp: https://wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🔗 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#LuxuryVillaPhuket #PrivatePoolVilla #LochPalmPhuket #KathuPhuket #BISPPhuket #GolfViewVilla #HighEndLiving #PhuketRealEstate #VillaForRentPhuket #LuxuryHomePhuket",""
