"Name of Village","Property Type","Price Low Season","Sale Price","Description","Listing Status"
"Lake ville","Pool Villa","90K","","🏡 House for Rent – Supalai Lake Ville 🏡
📍 Koh Kaew, Phuket

✨ Property Details

4 Bedrooms | 3 Bathrooms

Spacious living area

Usable area: 167 sqm

Land size: 265.6 sqm

🌿 Corner unit with garden view & excellent atmosphere

🚫 No pets allowed

💰 Rental Rates

90,000 THB/month (1-year contract)

100,000 THB/month (6-month contract)

💳 Deposit: 2 months + 1 month advance payment
📶 Rent includes WiFi & monthly garden maintenance

📍 Nearby: BIS, Finnway, Boat Lagoon, Robinson Thalang

✅ Perfect for families seeking a peaceful and comfortable home!

📩 For private viewing, please contact:
📱 Whatsapp: http://wa.me/66659594299
📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

#PhuketHouseForRent #PhuketLiving #LuxuryHomePhuket #SupalaiLakeVille #KohKaewPhuket #FamilyHomePhuket #PhuketRental #HouseForRentPhuket",""
"Habitia","house","40K","","📍 House for Rent – Habitia Koh Kaew, Phuket 🏡
💸 Rental Price: 40,000 THB/Month

📆 Contract: 1 Year | Deposit: 2 Months | Advance: 1 Month

💡 Utilities & WiFi paid by tenant
✨ Property Details
• Land Area: 41.5 sq.wah | House Area: 166 sqm
• 3 Bedrooms | 2 Bathrooms
• 2 Parking Spaces
• 3 Air Conditioners
• Full Curtains
• 1,000L Water Tank
🛋️ Furniture & Appliances

Refrigerator | TV | Washing Machine | Stove & Hood | Sofa & Coffee Table
🌿 Facilities
• Communal Swimming Pool & Fitness
• 24-Hour Security
📍 Nearby Locations
• 2 mins → British International School
• 5 mins → Fresh Market
• 15–20 mins → HeadStart Cherngtalay, HEI International School, Kajonkiet Cherngtalay
• 15–20 mins → Bangkok Hospital, Siriroj Hospital, Central Festival Phuket
• 25–30 mins → Phuket International Airport
📩 For private viewing, please contact

📱 Whatsapp: wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
#PhuketHouseForRent #HabitiaKohKaew #PhuketProperty #PhuketRental #HouseForRentPhuket",""
"Kokaew","house","65K","","🏡 House for Rent – Saransiri Koh Kaew, Phuket

(บ้านเดี่ยวให้เช่า ในโครงการสราญสิริ เกาะแก้ว ตรงข้ามโรงเรียนนานาชาติ BISP)
📍 Location: Koh Kaew, Phuket
✨ Property Details | รายละเอียดบ้าน

• 4 ห้องนอน | 3 ห้องน้ำ

• ห้องนั่งเล่น | ห้องครัว | สวน

• ที่จอดรถ 2 คัน

• เฟอร์นิเจอร์และเครื่องใช้ไฟฟ้าครบ
🛠 Renovation in Progress (บ้านกำลังปรับปรุงเล็กน้อย)

• เปลี่ยนวอลเปเปอร์ใหม่

• เพิ่มเฟอร์นิเจอร์ใหม่บางส่วน

• ล้างถังเก็บน้ำและแอร์เรียบร้อย

• บ้านจะทำความสะอาดใหญ่ก่อนเข้าอยู่

• เจ้าของยังพักอยู่ แต่พร้อมย้ายออกทันทีเมื่อทำสัญญา
🚪 พร้อมเข้าอยู่ได้เลย – Just bring your suitcase!
💰 Rental Price | ค่าเช่า

65,000 บาท/เดือน (สัญญารายปี)

📦 มัดจำ 2 เดือน + ล่วงหน้า 1 เดือน
📍 Nearby Locations | สถานที่ใกล้เคียง

• British International School (BISP)

• Finnway International School

• Boat Lagoon / Royal Phuket Marina

• Robinson Lifestyle

• ร้านอาหารและคาเฟ่มากมาย
🏡 Facilities in the Village | สิ่งอำนวยความสะดวกในโครงการ

✔ รปภ. 24 ชม. + CCTV

✔ สระว่ายน้ำ + สระเด็ก

✔ คลับเฮาส์ + ฟิตเนส

✔ สวนส่วนกลางขนาดใหญ่
📩 For private viewing, please contact:

📱 Whatsapp: wa.me/66659594299

📲 LINE: line.me/ti/p/7Cr_f-bvBX
#HouseForRent #SaransiriHouse #PhuketRental #BISP #SaransiriKohKaew #PhuketProperty #บ้านเช่าภูเก็ต #บ้านเช่าสราญสิริ #เกาะแก้ว",""
"Kokaew","house","37K","","",""
"Habitiown Koh Kaew","house","32K","","🏡 House for Rent – Habitown Koh Kaew, Phuket (Direct to owner)

💰 32,000 THB/month
📅 1-Year Contract
✨ New condition, ready to move in!

📍 Property Details:

2 Bedrooms 🛏️

2 Bathrooms 🚿

1 Walk-in Closet 👗

🚗 Prime Location:

2 mins → Local Flea Market 🛍️

3 mins → British International School 👨‍🏫

10 mins → Robinson Department Store 🏬

📦 Perfect for small families, couples, or professionals working around Koh Kaew.

📩 For viewing or more details please contact K.Thanya
📱 Whatsapp: http://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

#PhuketHouseForRent #KohKaewPhuket #HabitownKohKaew #PhuketRental #HouseForRentPhuket #PhuketLongTermRental #LivingInPhuket #PhuketRealEstate #ThailandHouseForRent ",""
"by pass","Pool Villa","200K",""," Luxury 6-Bedroom Pool Villa for Rent – Srisuchart Village 1 (Bypass Road, Rassada, Phuket) Property Details6 Bedrooms | 6 BathroomsLand Area: Approximately 1 RaiSpacious Parking AreaClose proximity to Lotus's and Central Phuket Rental Price: 200,000 THB/month (1-year contract) For private viewing, please contact K.Thanya WhatsApp: https://l.facebook.com/l.php?u=https%3A%2F%2Fwa.me%2F66659594299%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExZ2k5djJSVVVEcnZMd2s2MAEe2hUsohyS-Ep6eFJ5fIJfvtkRXVq8Rw-wIJr5Du8RknIdOGDcgsZCTKLXWPU_aem__WfeoTkKufdDgxK7lNR3rg&h=AT0Mg58IE4SxN6RVPA5I2wdtDy2Winu1tc3jXg6F-C2nvj2ZkUcXBUqn7jeib-BNmDWC7xFxAAxPO_iUj7s1bPIpQHmTNlEu0xba5HgnbdzdLbwyEIgf1OzNI4eawtI7h1aQkHedcwv8KkTarcU8&__tn__=-UK-R&c[0]=AT1BFUqESxArnpY7GO2S2bGaDQLgt-HH_Dybr0O3X-7K1bejJOVZ8mdWjIYo_P4anXwNnZiUCceRsaL5FZbVM06TnLNarxhr1Kz4rh4v2q_daihaMcAMRa5msTYcrr7n9NMSzwlbXCi8f9Pvxhbt7WfVu4QIjvbWWjyzeeKNonhWLwVqcYMFLSlRr2liaA LINE: https://l.facebook.com/l.php?u=https%3A%2F%2Fline.me%2Fti%2Fp%2F7Cr_f-bvBX%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExZ2k5djJSVVVEcnZMd2s2MAEeLXhJeRV8wgZ60Qb2Kb84nJ1Ip2C6au6MriaVqfa2GXM-CRfiuZY8SzBGCXc_aem_C9UyZFYCvdtQAA6AlAVcFQ&h=AT2NoXHoKzA_ittSouagzsn3djQC993bU8N1XWawRfN22_nGOnF-j1_9c_XyAB_7vHpqqJpaYzwwsy1p-n18X2zWcioWDliWADWWKn4nn01DRfbtZTUWaGF0FUIaivODgabvMiqie18xkuz-mV29&__tn__=-UK-R&c[0]=AT1BFUqESxArnpY7GO2S2bGaDQLgt-HH_Dybr0O3X-7K1bejJOVZ8mdWjIYo_P4anXwNnZiUCceRsaL5FZbVM06TnLNarxhr1Kz4rh4v2q_daihaMcAMRa5msTYcrr7n9NMSzwlbXCi8f9Pvxhbt7WfVu4QIjvbWWjyzeeKNonhWLwVqcYMFLSlRr2liaA#PhuketProperty #PhuketVilla #HouseForRentPhuket #LuxuryVillaPhuket #PhuketLiving #ThailandProperty #PhuketForRent #PhuketRealEstate",""
"Bella Kokaew","house","45K","","🏡✨ New Modern House for Rent – Supalai Bella, Koh-Kaew ✨🏡

📍 Prime Location – Easy access to all parts of Phuket
🏠 Property Features:
• Single house
• 3 Bedrooms | 2 Bathrooms
• Fully furnished in modern style
• 4 Air-conditioners
• Electrical appliances included
• Parking for 2 cars
• Large lawn around the house
• Quiet and peaceful area
• 24/7 security service next door
• Located on the main village road
• Public park just opposite the house
💰 Rental Price: 45,000 THB/month (yearly contract)

📦 2 months deposit + 1 month advance payment

⚡ Utilities (electricity & water) based on government bills
✨ Ready to move in

📩 For private viewing, please contact K.Thanya
📱 Whatsapp: http://wa.me/66659594299
📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

🔑 #PhuketHouseForRent #SupalaiBellaPhuket #KohKaewPhuket #PhuketRental #PhuketRealEstate",""
"Passorn Kokaew","house","50K/55K",""," 🏡 Corner House for Rent in Koh Kaew – 3 Bedrooms | 3 Bathrooms
💰 Rental Price
• 50,000 THB / month (1-year contract)
• 55,000 THB / month (6-month contract)
📌 Terms
• 2 months deposit + 1 month advance
✨ Special Privileges for Tenants
• Free housekeeping service (1x per month)
• Free garden maintenance (1x per month)
• Free access to swimming pool & fitness
• Free common area fee
💡 Utilities: Water, electricity, and internet paid by tenant per bill
📩 For private viewing, please contact K. Thanya

📱 WhatsApp: wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
🔑 #PhuketHouseForRent #KohKaewPhuket #PhuketProperty #PhuketLiving #HouseForRentPhuket #PhuketRealEstate",""
"Habitown","house","30K35K","","",""
"Habitia","house","45K","","🏡 Habitia Koh Kaew – 2-Storey Corner House for Rent
✨ Just 2 mins walk to British International School

🛏 3 Bedrooms | 🚿 2 Bathrooms | 🚗 2 Parking spaces
🏠 Detached corner house with extra space in front & side
💰 45,000 THB / month
🔑 Ready to move in now!

✅ Will be fully equipped with:

Kitchen with gas stove & hood

Air conditioners

Curtains throughout the house

🏢 Facilities
Swimming pool | Fitness | 24-hr security

📍 Key Distances

2 min walk → British International School Phuket

7 km → Thao Thep Monument

7.5 km → Robinson

7.9 km → Premium Outlet

12 km → Patong Beach

13 km → Tesco Lotus / Bangkok Hospital Siriroj

📩 Contact K. Thanya
📱 WhatsApp: wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

🔑 #PhuketHouseForRent #HabitiaKohKaew #PhuketLiving #PhuketRental #ThailandProperty ภูเก็ตตำแหน่งเป็นการระบุโดยประมาณข้อมูลผู้ขายhttps://www.facebook.com/marketplace/profile/100042070841677/?product_id=2751469181911229https://www.facebook.com/groups/1374445276151188เข้าร่วม Facebook ในปี 2019",""
"supalai lagoon","house","50K",""," 2-Storey Detached Home | Pet friendly  Supalai Lagoon Village – peaceful neighborhood, convenient location, close to British International School Property Details3 Bedrooms, 2 BathroomsPet friendly Tenants must have a valid visaWiFi included Rental Price: 50,000 THB/month 1-year contract For private viewing, please contact K.Thanya Whatsapp: https://wa.me/66659594299?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExUm5IVDVGYVk0N25VdzdnTAEe-PT_OQD_Lu8_NOC8KIBBTQH_LSS4MB-i8fNZuQtUkkwVv0SeKXD1tbqK1hk_aem_WQeTVM8DsrLPcPGYjT1URw LINE ID: https://line.me/ti/p/7Cr_f-bvBX?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExUm5IVDVGYVk0N25VdzdnTAEeHAjOz_aHKHHdomcCOYwf7BXPl-bVtJEWfZCltWs1SxV_DnNOzIKgKNAZdNo_aem_USpzcNue4ZrmGAcbI6SSEg#PhuketHouseForRent #SupalaiLagoon #PhuketRental #PetFriendlyPhuket #HouseForRentPhuket #PhuketLiving #PhuketRealEstate",""
"land and house 88","house","65K","","🏡 Land & House – Koh Kaew

✨ Available October
Property Details:

• 4 Bedrooms | 3 Bathrooms

• Fully furnished

• Free Wi-Fi included
💰 Rental Price: 65,000 THB / Month

📌 Terms: 2 months deposit + 1 month advance
📩 Contact K.Thanya for private viewing

📱 Whatsapp: https://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX
#KohKaewHouse #PhuketHouseForRent #LandAndHousePhuket #PhuketRental #ThanyaProperty",""
"lake ville kokaew","house","80K","","🏡 Modern House for Rent – Koh Kaew, Phuket

🛏 4 Bedrooms | 🚿 3 Bathrooms
🛋 2 Living Rooms (upstairs & downstairs)
🚗 2 Parking Spaces (inside the gate)

💰 Rental Price:
• 80,000 THB/month (1-year contract)
• 85,000 THB/month (6-month contract)

📌 Security Deposit: 2 months
📌 Advance Payment: 1 month
🐾 Pets: Allowed case by case (please inquire)

🎉 Special Privileges:
✅ Free maid service – 1 time/month
✅ Free garden care – 1 time/month
✅ Free common area fee
✅ Free use of swimming pool & fitness

📌 Utilities (water, electricity, internet) paid by tenant

📩 Contact K.Thanya for private viewing
📱 Whatsapp: http://wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

#KohKaewHouse #PhuketHouseForRent #ModernHomePhuket #PhuketLiving #ThanyaProperty ",""
